Frame,Time (ns),(+)-Gallocatechin-(4??8)-(+)-catechin,Prodelphinidin A2 3'-gallate,Proanthocyanidin A-6
294,29.3006,4.709504592,4.070815474,5.444357259
295,29.4006,4.339126774,3.919913485,4.897195884
296,29.5006,4.207588627,4.105081926,4.781260077
297,29.6006,3.993464506,4.178738152,4.217150571
298,29.7006,4.425515654,5.350726905,2.5526792
299,29.8006,4.376005211,5.527730092,2.702546825
300,29.9006,4.543558766,4.956941749,3.45880214
301,30.0006,5.54268128,4.62903766,3.854772359
302,30.1006,5.232791091,4.532819184,4.635900257
303,30.2006,4.999207594,5.094121417,4.779717961
304,30.3006,5.172497607,3.742737123,4.064482967
305,30.4006,5.31230266,4.493934685,5.028317322
306,30.5006,4.883652768,4.184111579,3.613134332
307,30.6006,4.586884727,6.376207629,2.358971313
308,30.7006,4.836861897,6.087161679,2.83172597
309,30.8006,5.176774,6.934823296,2.853590957
310,30.9006,3.696093335,6.406897627,3.268762979
311,31.0006,4.344913582,5.246647687,2.951007963
312,31.1006,4.178473501,4.702459347,4.747844447
313,31.2006,4.747973467,4.635578177,3.057775842
314,31.3006,4.893935167,4.123703257,3.633530666
315,31.4006,4.201685012,4.479386956,3.939378559
316,31.5006,4.714100635,4.606684914,3.059285366
317,31.6006,4.938686756,4.772591161,3.202238636
318,31.7006,5.510296533,4.881367754,3.438179124
319,31.8006,5.211346025,4.512330718,2.573149828
320,31.9006,4.770848953,4.470737498,3.593223946
321,32.0006,4.241742575,5.082583121,3.275860052
322,32.1006,4.764251152,4.696180558,3.617432531
323,32.2006,4.86089544,5.791098299,4.902082277
324,32.3006,5.760816899,5.000266146,6.162109482
325,32.4006,5.19408758,4.508239855,2.798899552
326,32.5007,4.642884236,5.466847236,4.559899185
327,32.6007,4.814141255,5.335905159,2.371162656
328,32.7007,4.900854605,5.140953839,3.079885443
329,32.8007,5.257800109,5.270152471,2.779513923
330,32.9007,5.239233211,4.880303998,4.258303353
331,33.0007,4.757227814,5.499861857,2.645131456
332,33.1007,5.002134518,4.450312555,2.757100359
333,33.2007,4.731946863,5.07846325,2.687393544
334,33.3007,5.549714452,4.907938306,3.250705962
335,33.4007,5.783940407,4.579318234,3.048219959
336,33.5007,4.985392417,6.107774181,3.739277882
337,33.6007,6.482821466,5.135927789,3.279093183
338,33.7007,4.601333506,4.539065865,3.275916647
339,33.8007,5.476962279,4.571463781,2.495739684
340,33.9007,5.317589584,4.522043503,2.25520993
341,34.0007,6.041345991,5.077598726,2.896940593
342,34.1007,5.619316855,4.992744159,2.584545947
343,34.2007,5.002263591,5.203657188,2.266282597
344,34.3007,4.139641394,6.015664189,2.738911221
345,34.4007,5.058571626,5.251961881,2.964647716
346,34.5007,5.408827159,4.609553962,2.969047171
347,34.6007,5.083924452,5.346575681,2.64969735
348,34.7007,5.662095579,6.37348887,2.572849017
349,34.8007,5.187165048,5.774540848,2.406528863
350,34.9007,7.099563016,5.457090943,2.449956182
351,35.0007,5.161052389,5.403126111,2.883010477
352,35.1007,5.061350114,5.336451645,2.488107261
353,35.2007,5.767245669,5.065209204,2.570837656
354,35.3007,6.206921523,5.604328182,2.371861013
355,35.4007,5.253771581,5.727123704,2.645726659
356,35.5007,6.129556919,6.500456404,2.513452959
357,35.6007,6.264021356,6.109455406,2.443789875
358,35.7007,5.63978347,4.734626684,2.36277471
359,35.8007,4.921238997,4.443645909,2.434753192
360,35.9007,4.784606861,4.343727701,2.998752778
361,36.0007,9.617728282,4.553505605,3.610766661
362,36.1007,6.757452745,4.650680052,2.723260313
363,36.2007,5.549611945,4.328924728,3.070520654
364,36.3007,5.013981775,5.825109892,2.29407245
365,36.4007,4.795006085,4.542731198,2.457620423
366,36.5007,5.294203957,4.138073256,2.687691548
367,36.6007,5.378121067,5.221690249,2.529623108
368,36.7007,4.924142259,5.10193503,2.488291688
369,36.8007,5.587214195,5.918570864,2.907190143
370,36.9007,5.782003642,4.383102998,2.87059841
371,37.0007,5.023566502,4.804986187,2.748605516
372,37.1007,4.916498695,5.012441724,3.096882768
373,37.2007,4.889382134,4.724844553,3.945450427
374,37.3007,5.392577018,4.431192587,2.913381745
375,37.4007,4.816202975,5.091087408,2.57513261
376,37.5007,7.292451498,4.387602313,2.18552528
377,37.6008,5.0705133,5.682875006,2.547982
378,37.7008,5.550941667,4.179598396,2.859945106
379,37.8008,6.265219677,4.720144882,2.994579449
380,37.9008,6.566364772,4.264721959,3.701732054
381,38.0008,5.523384874,4.094193569,2.435788423
382,38.1008,5.152041628,3.807620091,2.99644085
383,38.2008,5.891227957,3.770473053,2.636327852
384,38.3008,5.791470978,4.126587629,2.354725337
385,38.4008,5.18914058,5.347419019,2.714439249
386,38.5008,6.955930054,4.24901295,2.522151704
387,38.6008,6.623285127,3.79507551,2.496098894
388,38.7008,6.159625157,4.299825279,3.087528479
389,38.8008,6.867860855,4.782567102,3.092584457
390,38.9008,6.347329118,4.634899109,2.975140276
391,39.0008,5.969661077,3.864353303,2.568559686
392,39.1008,5.808469257,5.600056656,3.313101505
393,39.2008,6.046090613,4.574145056,2.265905502
394,39.3008,6.35928937,3.690272499,2.86314394
395,39.4008,5.249209016,4.083921919,2.633073955
396,39.5008,6.181350846,3.761405608,2.601439924
397,39.6008,5.800152452,3.782890227,2.706195874
398,39.7008,4.954088665,4.926585899,2.869236999
399,39.8008,5.112994592,5.936827315,2.468399466
400,39.9008,5.621920488,4.389054207,2.398474302
401,40.0008,5.466945525,4.297511467,3.280644901
402,40.1008,5.894723668,4.976772684,3.120048116
403,40.2008,5.564020482,5.926080656,2.385209654
404,40.3008,5.142056313,3.565076778,2.28943186
405,40.4008,4.775581549,4.081774979,2.904968053
406,40.5008,5.815772064,3.666241998,2.659536632
407,40.6008,7.416087693,4.071794965,2.512990921
